100,NEM12,201803210850,WBAYM,
200,NMIxxxxxxx,E1,,E1,N1,41051514,kWh,30,
300,20170701,.06,.05,.05,.05,.05,.06,.05,.05,.05,.05,.05,.05,.12,.23,.05,.05,.37,1.48,1.04,.69,.09,.22,.18,.09,.18,.1,.69,.36,.13,.12,.06,.06,.08,.07,.11,.17,.22,.17,.23,.24,.18,.09,.06,.05,.05,.06,.05,.05,A,,,20170702024930,
300,20170702,.05,.06,.05,.04,.05,.05,.05,.05,.05,.05,.05,.05,.05,.06,.05,2.37,1.79,.32,.13,.11,.08,.06,.06,.07,.05,1.38,.63,.17,.61,.06,.07,.15,.1,.26,.75,.21,.26,.19,.18,.17,.1,.25,.22,.18,.18,.09,.05,.06,A,,,20170703024605,
300,20170703,.05,.05,.06,.05,.05,.05,.05,.06,.05,.05,.05,.05,.06,.16,.12,1.2,1.62,.21,.03,.03,.04,.02,.04,.02,.04,.49,.53,.13,.14,.06,.06,.06,.05,.19,.21,.6,.23,.25,.19,.17,.14,.06,.07,.05,.06,.05,.06,.05,A,,,20170704024559,
300,20170704,.05,.06,.05,.04,.06,.05,.05,.06,.05,.05,.06,.05,.05,.1,.07,.02,.03,.28,.25,.29,.07,.41,.17,.06,.14,.05,.06,.05,.15,.1,.1,.05,.06,.14,.34,.23,.83,.43,.28,.29,.3,.26,.14,.06,.06,.06,.05,.06,A,,,20170705024645,
300,20170705,.05,.06,.05,.05,.06,.05,.06,.05,.05,.06,.05,.05,.1,.1,.08,.09,.26,.16,.12,.14,.12,.07,.08,.1,.1,.07,.13,.19,.35,.17,.1,.06,.05,.07,.21,.38,.62,.22,.17,.17,.28,.52,.21,.33,.05,.06,.06,.05,A,,,20170706024649,
300,20170706,.06,.05,.05,.06,.05,.05,.06,.05,.05,.05,.05,.06,.07,.1,.2,.12,.06,.05,.05,.05,.06,.08,.09,.35,.28,.27,.16,.09,.06,.06,.06,.05,.06,.06,.09,.12,.54,.36,.21,.18,.19,.23,.22,.19,.17,.19,.12,.26,A,,,20170707024915,
300,20170707,.11,.05,.06,.05,.05,.05,.06,.05,.05,.05,.06,.05,.05,.07,.1,.07,.06,.05,.05,.05,.22,.14,.13,.12,.13,.15,.21,.23,.05,.06,.05,.06,.05,.05,.06,.07,.82,.25,.23,.22,.24,.22,.22,.21,.19,.18,.12,.11,A,,,20170708024641,
300,20170708,.07,.07,.05,.04,.06,.05,.05,.05,.06,.05,.05,.05,.21,.3,.05,.06,.12,.76,1.28,.38,.46,.18,.45,.67,.12,.19,.07,.08,.14,.08,.26,.05,.06,.05,.19,.22,.17,.13,.21,.18,.18,.16,.15,.13,.11,.12,.08,.05,A,,,20170709024644,
300,20170709,.06,.05,.05,.05,.05,.05,.05,.05,.05,.05,.05,.78,1.03,.24,1.54,.12,.12,.09,.09,.12,.18,.13,.18,.08,.08,.06,.06,.08,.06,.08,.05,.06,.06,.05,.31,.35,.51,.49,.28,.24,.2,.06,.07,.05,.05,.06,.05,.05,A,,,20170710024647,
300,20170710,.06,.05,.05,.05,.05,.06,.05,.05,.05,.05,.06,1.18,.48,.35,.96,.09,.09,.41,.08,.38,.37,.07,.15,.17,.08,.15,.09,.09,.16,.09,.1,.11,.12,.07,.17,.86,.19,.23,.72,.18,.46,.39,.07,.05,.06,.06,.05,.05,A,,,20170711024658,
